cnpj;nm_fundo;gestor;classif_cvm;classif_anbima;aplicacao_inicial;mov_minima;saldo_perm;cotizacao;liquidacao;tx_adm;tx_performance;dt_inicio;ret_mes_jul_23;ret_2023;ret_12m;ret_24m;ret_36m;ret_cdi_mes_jul_23;ret_cdi_2023;ret_cdi_12m;ret_cdi_24m;ret_cdi_36m;vol_12m;vol_begin;sharpe_12m;sharpe_begin;pl_milhares
09625909000100;Artesanal Fc FI Mult;Artesanal Investimentos Ltda;Multimercado;Multimercados Livre; R$ 100 ; R$ 100 ; R$ 100 ;D+001;D+002;2,00%;20 % QUE EXCEDER 100 % DO CDI;9/12/2008;1,54%;7,95%;13,76%;24,50%;29,06%;143,94%;104,10%;101,29%;100,84%;106,33%;1,66%;4,02%;0,10;0,32;240.962,62 
37406818000119;Artesanal Real Estate FI Mult Cred Priv;Artesanal Investimentos Ltda;Multimercado;Multimercados Dinâmico; R$ 100.000 ; R$ 50.000 ; R$ 100.000 ;D+000;D+001;2,00%;A taxa será devida, se o R$ da cota ao final de cada período de cál. superar o r$ da cota na última;10/7/2020;1,94%;21,01%;32,63%;66,94%;67,43%;180,91%;274,99%;240,18%;275,53%;246,73%;6,53%;5,45%;2,62;1,70;91.136,37 
18302338000163;Artica Long Term FIA;Artica Gestao de Recursos Ltda;Ações;Ações Livre; R$ 20.000 ; R$ 1.000 ; R$ 10.000 ;D+029;D+030;2,00%;20.0000% que exceder 100.0000  do Ibovespa Fechamento+1:65536;27/9/2019;9,01%;20,37%;28,03%;2,06%;44,16%;840,67%;266,60%;206,33%;8,50%;161,58%;24,67%;22,78%;0,66;0,59;248.161,63 
36858224000186;Arvoredo FI Mult Cred Priv Ie;Itau Dtvm;Multimercado;Multimercados Invest. no Exterior; R$ 1.000.000 ; R$ 100 ; R$ 100 ;D+000;D+001;0,45%;-;10/11/2020;1,29%;7,69%;11,12%;17,95%;-;120,76%;100,66%;81,82%;73,90%;-;3,43%;4,03%;-0,62;0,00;89.849,57 
44917343000190;Asa Alpha Nominal Rates FI RF;Asa;Renda Fixa;Renda Fixa Duração Livre Grau de Invest.; R$ 10.000 ; R$ 5.000 ; R$ 5.000 ;D+000;D+001;0,50%;-;25/3/2022;0,92%;12,65%;19,18%;-;-;85,42%;165,58%;141,17%;-;-;3,50%;3,61%;1,43;0,93;32.612,18 
44917273000170;Asa Alpha Real Rates FI RF;Asa;Renda Fixa;Renda Fixa Duração Livre Grau de Invest.; R$ 10.000 ; R$ 5.000 ; R$ 5.000 ;D+000;D+001;0,50%;-;25/3/2022;0,79%;14,63%;18,07%;-;-;74,13%;191,53%;133,04%;-;-;5,46%;5,23%;0,76;0,23;21.161,23 
20458815000126;Asa Hedge Fc FI Mult;Asa;Multimercado;Multimercados Macro; R$ 10.000 ; R$ 5.000 ; R$ 5.000 ;D+030;D+031;1,90%;20% que exceder 100% do CDI;1/9/2014;1,73%;0,84%;11,72%;52,31%;48,86%;161,07%;10,96%;86,26%;215,32%;178,78%;5,83%;7,19%;-0,25;0,54;1.962.185,12 
50518609000125;Asa RF Ativo Fc FI LP;Asa;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 10.000 ; R$ 10.000 ; R$ 10.000 ;D+005;D+006;1,00%;20.0000% que exceder 100.0000 do CDI;24/5/2023;-;-;-;-;-;-;-;-;-;-;-;2,13%;-;-0,12;17.790,72 
35602471000154;Ashmore Emerging Mkts Eqt Adv Fc FIA Ie;Xp Allocation Asset Management Ltda;Ações;Ações Invest. no Exterior; R$ 500 ; R$ 100 ; R$ 100 ;D+001;D+006;0,80%;-;27/8/2020;6,32%;14,58%;12,11%;-10,16%;-;589,22%;190,79%;89,15%;-41,82%;-;17,01%;18,67%;0,01;-0,27;53.875,56 
35557650000117;Ashmore e M D A Fc FI Mult Cred Priv Ie;Xp Allocation Asset Management Ltda;Multimercado;Multimercados Invest. no Exterior; R$ 500 ; R$ 100 ; R$ 100 ;D+001;D+006;0,60%;-;28/8/2020;2,27%;9,05%;12,34%;-16,04%;-;211,88%;118,45%;90,86%;-66,01%;-;10,22%;9,50%;-0,06;-1,22;39.853,56 
36554687000154;Ashmore em Mkts Eqt Dolar Adv Fc FIA Ie;Xp Allocation Asset Management Ltda;Ações;Ações Invest. no Exterior; R$ 500 ; R$ 100 ; R$ 100 ;D+001;D+006;0,80%;-;26/8/2020;4,71%;-0,66%;-4,16%;-28,01%;-;439,41%;-8,65%;-30,59%;-115,29%;-;19,18%;19,86%;-0,73;-0,71;14.335,60 
21796827000123;Aspen Fc FI Mult - Cred Priv;Valora Gestao de Investimentos Ltda;Multimercado;Multimercados Estrat. Específica; R$ 10.000 ; R$ -   ; R$ -   ;D+000;D+001;0,70%;-;29/6/2018;2,05%;9,86%;19,39%;40,38%;57,29%;190,99%;129,08%;142,71%;166,23%;209,65%;1,16%;0,58%;4,43;13,03;58.412,82 
33269968000177;Aspen Fc FI Mult Cred Priv;Patrimonial Gestao de Recursos Ltda;Multimercado;Multimercados Livre; R$ 10.000 ; R$ 1.000 ; R$ 10.000 ;D+064;D+065;1,00%;-;30/7/2020;1,30%;9,28%;16,63%;31,35%;38,25%;121,18%;121,42%;122,41%;129,02%;139,97%;0,01%;0,29%;362,44;84,11;147.258,93 
44585287000134;Asset Bank - Fc FI Mult Cred Priv;Asset Bank Asset Management Ltda;Multimercado;Multimercados Livre; R$ 10.000 ; R$ 1.000 ; R$ 1.000 ;D+030;D+031;0,56%;-;19/1/2022;1,33%;9,68%;17,39%;-;-;124,53%;126,71%;127,97%;-;-;0,09%;0,22%;38,96;16,08;74.900,06 
42431442000132;Astella Journey IV Pvt Mult FI;Itau Dtvm;Multimercado;Multimercados Estrat. Específica; R$ 50.000 ; R$ 50.000 ; R$ 50.000 ;D+000;D+001;0,60%;-;10/8/2021;1,22%;3,55%;6,49%;-;-;113,74%;46,49%;47,75%;-;-;2,73%;6,09%;-2,27;-0,55;51.941,30 
43917039000180;Aster Fc FIA;Aster Investimentos S.A.;Ações;Ações Livre; R$ 500 ; R$ 500 ; R$ 500 ;D+030;D+032;1,80%;20,0000% que exceder 100,0000 do Outros;30/11/2021;2,61%;21,61%;21,75%;-;-;243,73%;282,91%;160,10%;-;-;21,69%;21,77%;0,45;-0,34;87.290,25 
43915574000100;Aster Fc FIA Bdr Nivel I;Aster Investimentos S.A.;Ações;Ações Livre; R$ 500 ; R$ 500 ; R$ 500 ;D+030;D+032;1,80%;20,0000% que exceder 100,0000 do Ibovespa Fechamento;30/11/2021;2,71%;21,69%;21,82%;-;-;252,85%;283,85%;160,60%;-;-;21,77%;22,04%;0,45;-0,35;21.240,62 
43917189000194;Aster Partners Fc FIA;Aster Investimentos S.A.;Ações;Ações Livre; R$ 500 ; R$ 500 ; R$ 500 ;D+030;D+032;1,10%;18,0000% que exceder 100,0000 do Outros;30/11/2021;2,75%;22,07%;22,52%;-;-;256,13%;288,87%;165,74%;-;-;21,87%;21,89%;0,48;-0,30;44.490,87 
47729676000184;Astor Asa Branca FI Mult Cred Priv;Astor Gestao de Recursos Ltda.;Multimercado;Multimercados Livre; R$ 500 ; R$ 100 ; R$ 500 ;D+031;D+033;0,48%;-;27/1/2023;1,40%;-;-;-;-;130,74%;-;-;-;-;-;2,09%;-;-0,51;11.128,93 
41460252000180;Astor Carcara FI Mult Cred Priv;Astor Gestao de Recursos Ltda.;Multimercado;Multimercados Livre; R$ 25.000 ; R$ 1.000 ; R$ 10.000 ;D+034;D+036;0,50%;-;14/5/2021;1,14%;5,82%;11,76%;20,22%;-;106,23%;76,21%;86,53%;83,24%;-;0,58%;1,67%;-2,79;-0,84;85.471,62 
23907122000161;At Advisory Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 20.000 ;D+001;D+003;1,35%;20 % QUE EXCEDER 100 % DO Outros;13/4/2016;5,24%;25,61%;18,00%;-15,75%;10,10%;488,96%;335,15%;132,51%;-64,84%;36,97%;20,05%;24,62%;0,30;0,34;126.776,32 
26803266000166;Atbc Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 20.000 ;D+001;D+003;1,35%;20 % QUE EXCEDER 100 % DO Outros;20/4/2017;5,27%;25,71%;18,13%;-15,65%;10,19%;491,31%;336,50%;133,41%;-64,44%;37,30%;20,08%;25,95%;0,31;0,36;301.417,88 
34231973000153;Atbjp Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 100.000 ; R$ 20.000 ; R$ 20.000 ;D+001;D+003;1,35%;-;26/8/2019;5,21%;25,39%;17,84%;-15,91%;9,86%;486,34%;332,30%;131,33%;-65,49%;36,08%;20,03%;30,08%;0,29;0,11;193.575,47 
43214822000188;Atena Acoes Fc FIA;Atena Capital Gestao de Recursos Ltda;Ações;Ações Livre; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+005;D+007;1,60%;A taxa é paga semestralmente.;1/10/2021;3,48%;13,00%;24,04%;-;-;324,18%;170,19%;176,94%;-;-;18,98%;19,43%;0,59;-0,38;47.525,90 
20501989000124;Atena Acoes Lb Fc FIA;Atena Capital Gestao de Recursos Ltda;Ações;Ações Livre; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+003;D+005;1,60%;-;8/10/2014;3,56%;11,54%;20,53%;-0,19%;15,60%;332,37%;151,02%;151,08%;-0,77%;57,07%;17,61%;17,45%;0,44;-0,04;92.666,71 
39379846000110;Atena FI Mult;Santander Brasil Gestao de Recursos Ltda;Multimercado;Multimercados Livre; R$ 1 ; R$ 1 ; R$ 1 ;D+000;D+001;0,14%;-;6/12/2021;1,12%;8,23%;14,62%;-;-;104,54%;107,78%;107,61%;-;-;0,88%;0,85%;1,05;1,21;86.665,83 
35711596000112;Atena Fc FI Mult;Dahlia Capital Gestao de Recursos;Multimercado;Multimercados Livre; R$ 5.000 ; R$ 1.000 ; R$ 5.000 ;D+030;D+032;1,85%;20% que exceder 100% do Outros;17/1/2020;3,08%;12,26%;12,93%;0,18%;12,19%;287,73%;160,52%;95,18%;0,75%;44,62%;12,83%;14,69%;0,02;-0,13;18.091,06 
17627210000107;Atena Tapyr Fc FI RF Cred Priv;Atena Capital Gestao de Recursos Ltda;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+000;D+001;0,50%;15 % QUE EXCEDER 100 % DO CDI;5/7/2013;1,12%;7,87%;13,99%;25,65%;30,00%;104,30%;103,07%;102,94%;105,57%;109,78%;0,06%;0,72%;6,34;0,44;210.211,08 
31340838000158;Atena Yield D30 Fc FI RF Cred Priv;Atena Capital Gestao de Recursos Ltda;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+029;D+030;0,85%;15% que exceder 100% do CDI;10/12/2018;1,19%;8,28%;14,60%;26,78%;31,40%;111,23%;108,31%;107,49%;110,24%;114,89%;0,10%;0,36%;9,34;4,02;343.874,86 
26725172000116;Athena Icatu FIA Prev Fife;Athena Capital Gestao de Recursos Ltda;Ações;Ações Índice Ativo; - ; - ; - ;D+001;D+003;1,84%;-;19/4/2017;6,81%;17,85%;27,48%;0,96%;12,87%;634,95%;233,64%;202,29%;3,96%;47,11%;24,80%;27,33%;0,64;0,29;66.150,76 
17249227000178;Athena Total Return FIC FIA;Athena Capital Gestao de Recursos Ltda;Ações;Ações Livre; R$ 1.000 ; R$ -   ; R$ -   ;D+030;D+032;2,00%;20.0000% que exceder 100.0000  do Outros, 6%;8/1/2013;5,91%;15,77%;25,21%;9,03%;25,20%;551,22%;206,35%;185,57%;37,16%;92,22%;20,83%;20,15%;0,61;0,24;120.921,84 
23186344000132;Athena Total Return II FIC FIA;Athena Capital Gestao de Recursos Ltda;Ações;Ações Livre; R$ 1.000 ; R$ -   ; R$ -   ;D+030;D+032;3,00%;-;29/9/2015;6,00%;15,33%;24,50%;7,02%;22,07%;559,85%;200,60%;180,31%;28,90%;80,75%;21,27%;21,98%;0,57;0,34;99.144,47 
28075454000140;Athena Total Return III Fc FIA;Athena Capital Gestao de Recursos Ltda;Ações;Ações Livre; R$ 20.000 ; R$ 1.000 ; R$ 20.000 ;D+030;D+032;2,00%;20.0000% que exceder 100.0000  do Outros, 6% a.a;24/7/2017;6,02%;15,64%;24,54%;7,11%;21,99%;561,93%;204,77%;180,65%;29,26%;80,47%;21,08%;23,56%;0,58;0,21;14.946,42 
45026647000120;Ativa Total Return FI Mult;Ativa Asset Ltda;Multimercado;Multimercados Livre; R$ 10.000 ; R$ 10.000 ; R$ 10.000 ;D+000;D+003;2,00%;-;2/3/2022;0,70%;3,08%;15,79%;-;-;65,40%;40,35%;116,22%;-;-;7,23%;6,84%;0,31;-0,20;11.383,71 
38251875000139;Ativore Pr Equity Imob Eua I FI Mult Ie;Ativore Gestora de Recursos Ltda;Multimercado;Multimercados Invest. no Exterior; R$ 500.000 ; R$ -   ; R$ -   ;D+000;D+005;1,50%;-;7/1/2021;-0,95%;-10,78%;-10,61%;-11,93%;-;-88,81%;-141,04%;-78,12%;-49,10%;-;19,62%;18,34%;-1,02;-0,84;15.023,88 
09093967000130;Atlantico 3 RF Refer DI Cred Priv Fc;Itau Unibanco Asset Management Ltda;Renda Fixa;Renda Fixa Duração Baixa Grau de Invest.; R$ 100 ; R$ 100 ; R$ 100 ;D+000;D+000;0,12%;-;1/4/2009;1,13%;7,69%;13,87%;25,53%;28,66%;105,58%;100,63%;102,06%;105,08%;104,87%;0,13%;0,22%;1,91;0,07;271.058,15 
40102324000155;Atlas Macro Fc FI Mult;Euqueroinvestir Gestao de Recursos Ltda;Multimercado;Multimercados Macro; R$ 500 ; R$ 100 ; R$ 100 ;D+030;D+031;1,42%;20 % QUE EXCEDER 100 % DO CDI;30/12/2020;0,86%;6,95%;14,74%;15,72%;-;80,54%;90,99%;108,50%;64,72%;-;5,78%;6,38%;0,21;-0,42;55.114,00 
13083227000190;Atlas One Fc em Acoes;Atlas One Investimentos Gestao Rec Ltda;Ações;Ações Livre; R$ 500 ; R$ 500 ; R$ 500 ;D+030;D+032;2,00%;20 % QUE EXCEDER 100 % DO IGP-M;31/8/2011;2,82%;8,13%;2,59%;-34,16%;-20,28%;263,52%;106,39%;19,09%;-140,62%;-74,22%;23,59%;20,69%;-0,30;0,08;81.504,52 
36182298000145;Atlas One Long Bias Fc Mult;Atlas One Investimentos Gestao Rec Ltda;Multimercado;Multimercados Livre; R$ 500 ; R$ 500 ; R$ 500 ;D+030;D+032;2,00%;-;5/3/2020;2,76%;8,82%;2,55%;-20,20%;-5,52%;257,67%;115,42%;18,78%;-83,13%;-20,21%;20,70%;22,32%;-0,38;-0,12;88.156,62 
46331366000144;Atme Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 10.000.000 ; R$ 50.000 ; R$ 50.000 ;D+060;D+062;1,35%;20,0000% que exceder 100,0000 do Outros;6/6/2022;4,35%;22,71%;16,40%;-;-;405,45%;297,20%;120,74%;-;-;17,82%;18,49%;0,23;0,09;1.334.655,84 
11145320000156;Atmos Acoes FICFI em Acoes;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 20.000 ;D+001;D+003;1,85%;10 % QUE EXCEDER 100 % DO Outros;15/10/2009;5,23%;25,36%;17,56%;-16,84%;9,49%;487,52%;331,86%;129,22%;-69,33%;34,71%;20,08%;19,43%;0,28;0,49;743.258,60 
19726267000199;Atmos Acoes II FIC FIA;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 10.000 ;D+001;D+003;1,35%;20 % QUE EXCEDER 100 % DO Outros;31/3/2014;5,27%;25,70%;18,11%;-15,67%;10,16%;491,17%;336,36%;133,30%;-64,50%;37,19%;20,07%;22,05%;0,30;0,39;298.324,94 
21762107000147;Atmos Atit Fc de FIA;Atmos Capital;Ações;Ações Livre; R$ 100.000 ; R$ 20.000 ; R$ 20.000 ;D+001;D+003;1,35%;20 % QUE EXCEDER 100 % DO Outros;20/3/2015;5,24%;25,60%;18,09%;-15,70%;10,00%;488,53%;335,10%;133,15%;-64,62%;36,60%;19,98%;22,74%;0,30;0,33;1.325.980,92 
45938170000150;Atmos Excellence Fc FIA;Plural Investimentos Gestao de Rec Ltda;Ações;Ações Livre; R$ 50.000 ; R$ 50.000 ; R$ 30.000 ;D+120;D+122;0,50%;-;1/7/2022;4,25%;21,89%;15,86%;-;-;396,28%;286,48%;116,70%;-;-;17,50%;17,70%;0,20;0,50;30.423,37 
15578434000140;Atmos Institucional Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 20.000 ;D+001;D+003;1,85%;20 % QUE EXCEDER 100 % DO Ibovespa Fechamento;31/7/2012;4,84%;22,88%;15,15%;-21,03%;0,85%;451,91%;299,45%;111,51%;-86,58%;3,09%;21,40%;22,61%;0,17;0,25;480.050,51 
22106186000109;Atmos Jcw Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 20.000 ;D+001;D+003;1,35%;20 % QUE EXCEDER 100 % DO Outros;14/12/2015;5,26%;25,68%;18,09%;-15,69%;10,15%;491,09%;336,07%;133,16%;-64,59%;37,14%;20,07%;24,82%;0,30;0,31;139.841,06 
11188572000162;Atmos Master FIA;Atmos Capital;Ações;Ações Livre; - ; - ; - ;D+001;D+003;0,15%;-;15/10/2009;5,38%;26,70%;19,75%;-14,04%;16,53%;502,13%;349,51%;145,36%;-57,77%;60,49%;20,07%;19,82%;0,38;0,63;11.318.595,26 
17327620000132;Atmos Prime Fc de FIA;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 20.000 ;D+001;D+003;1,85%;10 % QUE EXCEDER 100 % DO Outros;15/3/2013;5,22%;25,32%;17,51%;-16,90%;9,39%;486,88%;331,44%;128,89%;-69,57%;34,37%;20,08%;21,56%;0,28;0,39;141.580,83 
17863625000180;Atmos Pwm FICFI Acoes;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 20.000 ;D+001;D+003;1,35%;15 % QUE EXCEDER 100 % DO Outros;21/5/2013;5,27%;25,71%;18,13%;-16,12%;9,95%;491,36%;336,54%;133,45%;-66,34%;36,41%;20,08%;21,51%;0,31;0,38;499.805,00 
41544414000169;Atmosphere Global Total Re Fc FI Mult II;Atmosphere Capital Gestao de Recur Ltda.;Multimercado;Multimercados Livre; R$ 5.000 ; R$ 1.000 ; R$ 5.000 ;D+015;D+017;1,87%;20.0000% que exceder 100.0000  do Outros, IPCA + spread do IMA-B;18/5/2021;1,38%;3,32%;5,45%;13,18%;-;128,53%;43,47%;40,14%;54,26%;-;6,22%;8,48%;-1,13;-0,58;20.015,00 
18585301000190;Atmp Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 50.000 ; R$ 10.000 ; R$ 20.000 ;D+001;D+003;1,85%;10 % QUE EXCEDER 100 % DO Outros;15/8/2013;5,23%;25,36%;17,56%;-16,85%;9,38%;487,57%;331,95%;129,27%;-69,35%;34,32%;20,08%;21,85%;0,28;0,39;458.324,63 
30566208000133;Atmr Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 100.000 ; R$ 20.000 ; R$ 20.000 ;D+001;D+003;1,35%;-;10/7/2018;5,26%;25,70%;18,12%;-15,65%;10,20%;491,14%;336,44%;133,36%;-64,41%;37,31%;20,08%;27,76%;0,31;0,47;349.048,58 
36326771000110;Atmr II Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 200.000 ; R$ 20.000 ; R$ 20.000 ;D+001;D+003;1,35%;-;18/3/2020;5,27%;25,71%;18,13%;-15,66%;9,81%;491,42%;336,52%;133,47%;-64,46%;35,91%;20,08%;23,68%;0,31;0,43;1.114.869,08 
45124029000113;Atmr III Fc FIA;Atmos Capital;Ações;Ações Livre; R$ 500.000 ; R$ 50.000 ; R$ 50.000 ;D+060;D+062;1,35%;20,0000% que exceder 100,0000 do Outros;6/6/2022;4,33%;22,43%;16,45%;-;-;404,25%;293,54%;121,11%;-;-;17,69%;18,40%;0,23;0,10;833.177,92 
44853229000144;Audacitas IQ FI Mult Cred Priv;Euqueroinvestir Gestao de Recursos Ltda;Multimercado;Multimercados Livre; - ; - ; - ;D+089;D+090;1,00%;20,0000% que exceder 100,0000 do CDI;4/3/2022;1,24%;5,47%;12,38%;-;-;115,88%;71,54%;91,11%;-;-;2,05%;1,76%;-0,51;0,03;111.989,72 
34218678000167;Augme 180 Fc FI Mult Cred Priv;Augme Capital Gestao de Recursos;Multimercado;Multimercados Estrat. Específica; R$ 5.000 ; R$ 5.000 ; R$ 5.000 ;D+179;D+180;1,10%;20.0000% que exceder 100.0000  do CDI;27/12/2019;1,25%;5,03%;11,27%;25,52%;33,88%;117,02%;65,87%;82,94%;105,05%;123,98%;1,95%;1,17%;-1,05;1,14;335.063,22 
30568495000110;Augme 45 Advisory Fc FI RF Cred Priv LP;Augme Capital Gestao de Recursos;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 500 ; R$ 100 ; R$ 100 ;D+044;D+045;0,60%;20.0000% que exceder 100.0000  do CDI;27/5/2019;1,37%;5,58%;11,89%;24,65%;31,35%;127,67%;73,03%;87,55%;101,49%;114,71%;1,58%;0,98%;-0,94;0,56;448.958,01 
14237118000142;Augme 45 Fc FI RF Cred Priv LP;Augme Capital Gestao de Recursos;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 500 ; R$ 500 ; R$ 500 ;D+044;D+045;0,60%;-;6/12/2011;1,36%;5,55%;11,85%;24,59%;31,38%;127,18%;72,64%;87,21%;101,22%;114,84%;1,59%;0,83%;-0,96;0,90;264.937,43 
17012208000123;Augme 90 FICFI Mult Cred Priv;Augme Capital Gestao de Recursos;Multimercado;Multimercados Livre; R$ 5.000 ; R$ 5.000 ; R$ 5.000 ;D+089;D+090;1,10%;-;1/4/2013;1,26%;5,05%;11,29%;25,56%;33,95%;117,36%;66,08%;83,09%;105,23%;124,22%;1,95%;1,28%;-1,04;1,85;804.746,77 
49731753000166;Augme Estrategico II FI Mult Cred Priv;Augme Capital Gestao de Recursos;Multimercado;Multimercados Livre; R$ 5.000 ; R$ 5.000 ; R$ 5.000 ;D+059;D+060;0,68%;20 % QUE EXCEDER 100 % DO CDI;7/3/2023;-;-;-;-;-;-;-;-;-;-;-;1,22%;-;3,67;68.101,64 
30568485000185;Augme Institucional FI RF Cred Priv;Augme Capital Gestao de Recursos;Renda Fixa;Renda Fixa Duração Alta Crédito Livre; R$ 100.000 ; R$ 10.000 ; R$ 100.000 ;D+029;D+030;1,10%;20 % QUE EXCEDER 100 % DO CDI;21/6/2019;1,19%;3,30%;9,68%;23,98%;32,50%;111,15%;43,26%;71,23%;98,69%;118,91%;2,54%;1,40%;-1,36;0,82;209.743,05 
35828689000121;Augme P Xp S Fie II Fc FI Mult Cred Priv;Augme Capital Gestao de Recursos;Multimercado;Previdência Multimercado Livre; R$ 5.000 ; R$ 5.000 ; R$ 5.000 ;D+044;D+045;0,80%;20,0000% que exceder 100,0000 do CDI;21/12/2022;1,23%;6,56%;-;-;-;114,41%;85,89%;-;-;-;-;0,80%;-;-2,20;82.645,10 
36017195000120;Augme Previdencia Fife FI Mult Cred Priv;Augme Capital Gestao de Recursos;Multimercado;Previdência Multimercado Livre; R$ 1.000 ; R$ -   ; R$ -   ;D+044;D+045;0,80%;20.0000% que exceder 100.0000  do CDI;29/1/2021;1,30%;6,79%;13,25%;26,44%;-;121,59%;88,91%;97,49%;108,81%;-;0,62%;0,45%;-0,49;3,18;183.105,70 
30353549000120;Augme Pro FI Mult Cred Priv;Augme Capital Gestao de Recursos;Multimercado;Multimercados Livre; R$ 10.000 ; R$ -   ; R$ 5.000 ;D+180;D+181;1,55%;20 % QUE EXCEDER 100 % DO CDI;1/3/2019;1,01%;7,35%;13,68%;28,89%;37,75%;94,41%;96,18%;100,70%;118,92%;138,15%;0,71%;1,17%;0,12;2,12;173.531,21 
39502502000156;Augme Pro Xpa FI Mult Cred Priv;Augme Capital Gestao de Recursos;Multimercado;Multimercados Livre; - ; - ; - ;D+180;D+181;1,50%;20,0000% que exceder 100,0000 do CDI;27/10/2021;0,96%;6,93%;13,73%;-;-;89,28%;90,65%;101,06%;-;-;0,75%;0,71%;0,17;1,89;93.327,37 
26657105000101;Auro Cart Arroj Master FI Mult Cred Priv;Auro Capital Ltda;Multimercado;Multimercados Livre; R$ 10.000 ; R$ 5.000 ; R$ 10.000 ;D+000;D+001;0,80%;20 % QUE EXCEDER 100 % DO CDI;12/1/2017;1,81%;6,19%;10,77%;0,76%;10,97%;168,88%;81,05%;79,24%;3,15%;40,14%;4,07%;8,14%;-0,59;0,27;11.093,76 
38074718000103;Auro Carteira Dinamica FI Mult Cred Priv;Auro Capital Ltda;Multimercado;Multimercados Dinâmico; R$ 10.000 ; R$ 1.000 ; R$ 10.000 ;D+003;D+005;0,80%;20% que exceder 100% do CDI;23/2/2021;1,01%;4,37%;9,27%;13,76%;-;94,44%;57,20%;68,22%;56,66%;-;1,57%;2,88%;-2,43;-1,25;10.325,01 
44339632000150;Aurum Fc de FI Mult;Ultra Mar Capital.;Multimercado;Multimercados Livre; R$ 10.000 ; R$ 5.000 ; R$ 10.000 ;D+030;D+031;1,50%;20,0000% que exceder 100,0000 do CDI;22/2/2022;0,74%;8,51%;16,24%;-;-;68,86%;111,35%;119,54%;-;-;3,99%;3,56%;0,61;0,59;16.755,08 
19391026000136;Austro Ima B Ativo FICFI RF;Austro Gestao de Recursos;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 10.000 ; R$ 10.000 ; R$ 10.000 ;D+001;D+004;0,30%;-;7/1/2014;-2,23%;-13,28%;-31,67%;-72,68%;-76,37%;-208,09%;-173,80%;-233,12%;-299,18%;-279,46%;10,54%;20,01%;-3,88;-1,01;25.273,12 
47947725000155;Autem Independencia Financeir Fc FI Mult;Constancia Investimentos;Multimercado;Multimercados Livre; R$ 1 ; R$ 1 ; R$ 1 ;D+035;D+037;0,78%;10,0000% que exceder 100,0000 do CDI;11/11/2022;1,89%;8,59%;-;-;-;176,68%;112,38%;-;-;-;-;4,19%;-;0,18;18.330,30 
32065814000109;Avantgarde Multifatores FIA;Avantgarde Asset Management Gestao de Re;Ações;Ações Livre; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+010;D+012;2,00%;vide Artigo 21 e parágrafos.;5/8/2019;2,06%;10,01%;12,64%;-4,63%;36,00%;192,42%;130,99%;93,07%;-19,08%;131,74%;17,36%;21,50%;0,04;0,48;66.787,42 
47610707000183;Avin FI RF Cred Priv;Avin Asset Gestao de Recursos Ltda.;Renda Fixa;Renda Fixa Duração Livre Crédito Livre; R$ 1.000 ; R$ 1.000 ; R$ 1.000 ;D+000;D+001;0,40%;-;1/12/2022;1,15%;8,09%;-;-;-;107,35%;105,93%;-;-;-;-;0,38%;-;1,48;96.747,36 
37980028000142;Aviv Igc Esg Ida Fc FI Mult Cred Priv Ie;Xp Allocation Asset Management Ltda;Multimercado;Multimercados Invest. no Exterior; R$ 500 ; R$ 100 ; R$ 100 ;D+001;D+006;0,70%;-;9/8/2021;0,30%;-5,65%;-4,94%;-;-;27,99%;-73,92%;-36,35%;-;-;15,96%;15,87%;-0,96;-1,04;22.993,79 
37331264000138;Aviva Igc Esg Ia Fc FI Mult Cred Priv Ie;Xp Allocation Asset Management Ltda;Multimercado;Multimercados Invest. no Exterior; R$ 500 ; R$ 100 ; R$ 100 ;D+001;D+006;0,70%;-;30/6/2021;1,87%;9,36%;11,83%;8,78%;-;174,89%;122,46%;87,06%;36,14%;-;6,13%;5,74%;-0,22;-1,03;28.074,13 
